,time,text,user_name,user_location,retweet_cnt,favorite_cnt,hashtags,user_mentions,is_retweet
0,2021-03-09 19:33:27,@Nickguy2014 @UnderArmour I saw them and fell in love.. had to buy them. I love the charged impulse they are my fav… https://t.co/NbLF6mytEC,NotUrPixieBitch,rolling in it,0,0,[],"['Nickguy2014', 'UnderArmour']",False
1,2021-03-09 19:28:51,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @FashionPlaza3 #poshmark #fashion… https://t.co/loskk1ZYyC,Reggie25309809,,0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'FashionPlaza3']",False
2,2021-03-09 19:28:11,RT @ZackSnyder: @UnderArmour @MaranathaSports Onward!,JG202392020518,"Union City, NJ",4,0,[],"['ZackSnyder', 'UnderArmour', 'maranathasports']",True
3,2021-03-09 19:28:00,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/2ZUhByyoUA,NotaroCindy,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
4,2021-03-09 19:27:44,"@PropBetGuy @KhanLocks @UnderArmour @Nike @adidas @PUMA It's okay, we all know you're moving lines and those 100 lb DBs.",DanRivera228,"Eugene, Oregon",0,0,[],"['PropBetGuy', 'KhanLocks', 'UnderArmour', 'Nike', 'adidas', 'PUMA']",False
5,2021-03-09 19:27:27,@ZackSnyder @UnderArmour @maranathasports Onward!!!,JG202392020518,"Union City, NJ",0,1,[],"['ZackSnyder', 'UnderArmour', 'maranathasports']",False
6,2021-03-09 19:25:38,"@DanRivera228 @KhanLocks @UnderArmour @Nike @adidas @PUMA How could I forget the brachialis?

And yeah I totally know what brachialis is...",PropBetGuy,,0,1,[],"['DanRivera228', 'KhanLocks', 'UnderArmour', 'Nike', 'adidas', 'PUMA']",False
7,2021-03-09 19:21:50,Check out this listing I just added to my #Poshmark closet: UnderArmour Half-Zip Jacket. https://t.co/9RBgyJtwOM #shopmycloset @poshmarkapp,AbundantAtoms,Planet Earth/7th Dimension,0,0,"['Poshmark', 'shopmycloset']",['Poshmarkapp'],False
8,2021-03-09 19:11:04,Check out this listing I just added to my #Poshmark closet: UnderArmour Racer Tank Top. https://t.co/zmCbfeO5bZ #shopmycloset @poshmarkapp,AbundantAtoms,Planet Earth/7th Dimension,0,0,"['Poshmark', 'shopmycloset']",['Poshmarkapp'],False
9,2021-03-09 19:05:02,Charge forward with purpose. Make somethin’ happen 🤙🏽 #fitness #gym #bodyphenom #underarmour #FitnessMotivation… https://t.co/gydq1iEE0l,NickRoybal,Albuquerque NM Hollywood CA,0,0,"['fitness', 'gym', 'bodyphenom', 'underarmour', 'FitnessMotivation']",[],False
